,Song_name,num_plays
0,Juice,9
1,Good As Hell,7
2,Humanize,4
3,Soulmate,3
4,Fitness,3
5,Boys,2
6,Water Me,2
7,Tempo (feat. Missy Elliott),2
8,Lingerie,2
9,Ain't I,2
10,Cuz I Love You,2
11,Crybaby,2
12,Like A Girl,1
13,Jerome,1
14,Lizzie Borden,1
15,Truth Hurts,1
16,Coconut Oil,1
17,Worship,1
